case_id,component_id,area,kind,role,environment,scenario,primary_stream,priority,multitenant,external_dependency,mutable,allowed_role,iso_25010_focus,iso_29119_artifact,security_reference,source_family,local_ref,preconditions,expected_result,description,source_refs
UC-00033,AUTH_LOGIN,auth,router,anonymous,CERT_PROD_LIKE,security_abuse,regression,critical,no,no,yes,yes,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=CERT_PROD_LIKE;role=anonymous;component=AUTH_LOGIN,"Abuse is rate-limited, rejected, logged, or neutralized without compromising integrity.","Validate AUTH_LOGIN for role=anonymous, env=CERT_PROD_LIKE, scenario=security_abuse using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00034,AUTH_LOGIN,auth,router,platform_admin,development,happy_path,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,Access is denied or redirected without privilege escalation.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=happy_path using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00035,AUTH_LOGIN,auth,router,platform_admin,development,missing_required,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,Validation error is returned without corrupting persisted state.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=missing_required using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00036,AUTH_LOGIN,auth,router,platform_admin,development,invalid_format,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,Input is rejected with explicit validation feedback and no unsafe fallback.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=invalid_format using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00037,AUTH_LOGIN,auth,router,platform_admin,development,boundary_min,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,Minimum valid payload or state is processed consistently with documented defaults.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=boundary_min using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00038,AUTH_LOGIN,auth,router,platform_admin,development,boundary_max,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,"Upper-bound payload is handled without truncation, timeout, or silent data loss.","Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=boundary_max using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00039,AUTH_LOGIN,auth,router,platform_admin,development,unauthorized,regression,critical,no,no,yes,no,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,Unauthorized access is blocked with 401/403/redirect and no data disclosure.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=unauthorized using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00040,AUTH_LOGIN,auth,router,platform_admin,development,cross_tenant,regression,critical,no,no,yes,no,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN;baseline_record_exists,No tenant boundary bypass is possible; unrelated records remain hidden.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=cross_tenant using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00041,AUTH_LOGIN,auth,router,platform_admin,development,duplicate_request,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN;baseline_record_exists,Duplicate request is idempotent or rejected deterministically without double effects.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=duplicate_request using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00042,AUTH_LOGIN,auth,router,platform_admin,development,external_timeout,functional,critical,no,no,yes,no,"functional_suitability,reliability",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,Component remains stable even when dependent collaborators are unavailable.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=external_timeout using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00043,AUTH_LOGIN,auth,router,platform_admin,development,regression_route_guard,regression,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN;previously_verified_baseline_available,Previously protected flow remains protected after code or config changes.,"Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=regression_route_guard using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00044,AUTH_LOGIN,auth,router,platform_admin,development,security_abuse,regression,critical,no,no,yes,no,"functional_suitability,security",test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=development;role=platform_admin;component=AUTH_LOGIN,"Abuse is rate-limited, rejected, logged, or neutralized without compromising integrity.","Validate AUTH_LOGIN for role=platform_admin, env=development, scenario=security_abuse using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00045,AUTH_LOGIN,auth,router,platform_admin,PRECERT,happy_path,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=platform_admin;component=AUTH_LOGIN,Access is denied or redirected without privilege escalation.,"Validate AUTH_LOGIN for role=platform_admin, env=PRECERT, scenario=happy_path using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00046,AUTH_LOGIN,auth,router,platform_admin,PRECERT,missing_required,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=platform_admin;component=AUTH_LOGIN,Validation error is returned without corrupting persisted state.,"Validate AUTH_LOGIN for role=platform_admin, env=PRECERT, scenario=missing_required using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00047,AUTH_LOGIN,auth,router,platform_admin,PRECERT,invalid_format,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=platform_admin;component=AUTH_LOGIN,Input is rejected with explicit validation feedback and no unsafe fallback.,"Validate AUTH_LOGIN for role=platform_admin, env=PRECERT, scenario=invalid_format using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
UC-00048,AUTH_LOGIN,auth,router,platform_admin,PRECERT,boundary_min,functional,critical,no,no,yes,no,functional_suitability,test_case_specification,OWASP ASVS,local_repo,app/api/routes/auth.py,environment=PRECERT;role=platform_admin;component=AUTH_LOGIN,Minimum valid payload or state is processed consistently with documented defaults.,"Validate AUTH_LOGIN for role=platform_admin, env=PRECERT, scenario=boundary_min using auditable expectations.","app/api/routes/auth.py | Repository routes, tests, components, addons and notes | https://owasp.org/www-project-application-security-verification-standard/ | docs/compliance/2026-03-18_iso_cleanliness_baseline.md"
